grn_id,product_id,vendor_id,warehouse_id,grn_date,quantity,unit_cost,grn_status
PUR000001,P0021,V002,WH004,2026-05-08,177,5234.44,Received
PUR000002,P0007,V019,WH003,2026-02-05,1047,434.67,Received
PUR000003,P0070,V008,WH006,2025-09-26,186,11672.46,Received
PUR000004,P0127,V005,WH006,2025-09-12,979,376.21,Received
PUR000005,P0143,V019,WH006,2025-09-23,428,10753.21,Received
PUR000006,P0148,V013,WH007,2025-08-31,213,2597.68,Received
PUR000007,P0143,V019,WH008,2026-03-12,254,10491.57,Received
PUR000008,P0149,V015,WH008,2026-02-21,737,1668.12,Received
PUR000009,P0120,V021,WH005,2025-08-12,1193,3220.17,Partially Received
PUR000010,P0128,V018,WH003,2025-12-01,835,11475.65,Received
PUR000011,P0142,V006,WH004,2026-07-17,423,7430.18,Received
PUR000012,P0057,V001,WH003,2026-02-05,912,952.08,Received
PUR000013,P0058,V019,WH005,2026-08-09,697,4317.76,Received
PUR000014,P0021,V002,WH001,2025-10-31,87,5117.02,Partially Received
PUR000015,P0082,V005,WH005,2025-11-24,107,7721.4,Received
PUR000016,P0069,V015,WH006,2026-03-22,236,3042.62,Received
PUR000017,P0131,V001,WH007,2025-12-13,20,230.86,Received
PUR000018,P0087,V004,WH001,2026-02-15,1178,8032.51,Received
PUR000019,P0049,V017,WH007,2026-07-04,159,6727.65,Received
PUR000020,P0147,V024,WH006,2026-06-06,637,641.88,Received
PUR000021,P0115,V016,WH002,2026-06-18,152,6344.21,Received
PUR000022,P0089,V025,WH005,2025-12-11,197,6812.65,Received
PUR000023,P0085,V023,WH005,2026-04-04,829,935.45,Received
PUR000024,P0128,V018,WH004,2026-01-28,399,11352.59,Received
PUR000025,P0140,V025,WH003,2025-12-22,927,6906.88,Received
PUR000026,P0117,V015,WH001,2026-01-08,677,7903.92,Received
PUR000027,P0127,V005,WH008,2025-11-18,469,406.02,Received
PUR000028,P0071,V022,WH007,2026-07-19,605,9207.33,Received
PUR000029,P0086,V026,WH001,2026-01-10,482,3986.77,Received
PUR000030,P0033,V005,WH004,2025-12-20,1009,11450.13,Received
PUR000031,P0081,V028,WH004,2026-08-01,1151,1568.26,Received
PUR000032,P0061,V017,WH007,2026-05-01,141,499.61,Received
PUR000033,P0061,V017,WH008,2026-01-08,36,556.55,Received
PUR000034,P0098,V025,WH003,2025-11-28,346,6552.67,Received
PUR000035,P0028,V019,WH007,2026-07-16,337,4335.57,Partially Received
PUR000036,P0043,V006,WH007,2026-02-08,828,11389.31,Received
PUR000037,P0086,V026,WH006,2026-06-10,522,4197.48,Partially Received
PUR000038,P0017,V024,WH008,2026-04-13,138,11879.16,Received
PUR000039,P0098,V025,WH003,2025-10-27,729,6581.41,Received
PUR000040,P0098,V025,WH005,2025-12-03,64,6838.65,Received
PUR000041,P0065,V018,WH006,2025-11-22,333,6051.44,Received
PUR000042,P0074,V030,WH002,2025-10-10,437,8626.18,Received
PUR000043,P0085,V023,WH008,2026-08-03,575,916.51,Received
PUR000044,P0005,V005,WH003,2026-01-03,1121,6589.2,Received
PUR000045,P0002,V002,WH004,2026-03-19,345,1198.36,Received
PUR000046,P0022,V019,WH006,2025-10-29,534,7945.51,Received
PUR000047,P0112,V030,WH003,2025-10-27,233,5089.36,Received
PUR000048,P0057,V001,WH001,2026-03-19,93,919.78,Received
PUR000049,P0066,V024,WH007,2026-06-02,528,3232.16,Received
PUR000050,P0074,V030,WH002,2025-10-07,351,8461.88,Received
PUR000051,P0098,V025,WH005,2025-09-16,1136,6581.67,Received
PUR000052,P0144,V001,WH007,2026-04-18,707,9721.54,Received
PUR000053,P0112,V030,WH001,2025-10-02,676,5126.34,Received
PUR000054,P0125,V006,WH001,2026-02-06,1047,11380.9,Received
PUR000055,P0086,V026,WH002,2025-12-13,1181,4325.37,Received
PUR000056,P0076,V030,WH005,2026-02-09,619,7921.12,Received
PUR000057,P0088,V029,WH004,2025-12-02,1095,529.21,Received
PUR000058,P0038,V018,WH006,2025-11-28,344,2048.68,Received
PUR000059,P0059,V023,WH008,2026-06-28,1011,8142.96,Received
PUR000060,P0138,V022,WH005,2025-11-22,736,10205.4,Received
PUR000061,P0099,V023,WH008,2025-08-21,742,9842.65,Received
PUR000062,P0063,V012,WH003,2025-09-09,296,7493.2,Received
PUR000063,P0049,V017,WH001,2025-10-13,555,6996.6,Received
PUR000064,P0032,V028,WH003,2025-11-07,171,3292.96,Received
PUR000065,P0135,V001,WH004,2025-12-12,974,11495.2,Partially Received
PUR000066,P0021,V002,WH003,2025-12-13,278,5061.0,Received
PUR000067,P0020,V017,WH005,2026-01-22,343,11803.22,Received
PUR000068,P0127,V005,WH003,2026-06-08,1036,417.24,Received
PUR000069,P0068,V012,WH004,2025-10-03,888,5070.7,Received
PUR000070,P0110,V028,WH004,2026-03-07,707,6580.6,Received
PUR000071,P0116,V004,WH004,2025-08-26,329,6587.91,Received
PUR000072,P0143,V019,WH005,2026-03-22,822,11059.14,Received
PUR000073,P0120,V021,WH004,2026-06-17,1099,3238.05,Received
PUR000074,P0079,V004,WH001,2025-12-28,639,7069.4,Received
PUR000075,P0116,V004,WH007,2026-01-30,492,6678.62,Received
PUR000076,P0092,V017,WH004,2026-04-18,480,8074.05,Received
PUR000077,P0014,V025,WH003,2025-10-29,833,7786.53,Received
PUR000078,P0125,V006,WH006,2026-04-20,865,11160.99,Received
PUR000079,P0058,V019,WH003,2025-11-05,1184,3977.9,Received
PUR000080,P0028,V019,WH006,2026-06-19,686,4345.42,Received
PUR000081,P0026,V027,WH003,2025-11-03,281,2318.51,Received
PUR000082,P0113,V024,WH005,2026-05-23,374,6199.69,Received
PUR000083,P0066,V024,WH003,2025-11-18,789,3259.21,Received
PUR000084,P0131,V001,WH005,2026-06-24,199,246.64,Received
PUR000085,P0044,V027,WH005,2026-04-19,85,9152.35,Received
PUR000086,P0097,V015,WH004,2025-09-09,839,1036.51,Received
PUR000087,P0042,V019,WH001,2025-11-28,190,7343.58,Received
PUR000088,P0006,V015,WH006,2025-10-25,493,5380.0,Received
PUR000089,P0023,V006,WH004,2025-09-23,553,3062.46,Received
PUR000090,P0089,V025,WH004,2026-06-29,1150,6829.11,Received
