inventory_id,product_id,warehouse_id,grn_id,grn_date,quantity_on_hand,unit_cost,batch_status,inventory_value,age_days,age_bucket,inventory_status
INV000001,P0001,WH005,GRN001238,2026-06-14,478,7616.6,Sellable,3640734.8,65,61-90,Slow Moving
INV000002,P0001,WH008,GRN000585,2026-07-07,257,7766.14,Sellable,1995897.98,42,31-60,Healthy
INV000003,P0002,WH007,GRN001704,2026-07-15,126,1181.59,Sellable,148880.34,34,31-60,Healthy
INV000004,P0002,WH002,GRN000162,2026-08-18,388,1261.79,Sellable,489574.52,0,0-30,Healthy
INV000005,P0002,WH008,GRN001791,2026-08-01,447,1213.95,Sellable,542635.65,17,0-30,Healthy
INV000006,P0003,WH003,GRN000742,2025-10-16,1435,8003.43,Sellable,11484922.05,306,181-365,Non Moving
INV000007,P0003,WH006,GRN001539,2026-04-07,142,7503.9,Sellable,1065553.8,133,91-180,Slow Moving
INV000008,P0004,WH001,GRN001767,2026-08-05,161,1567.35,Sellable,252343.35,13,0-30,Healthy
INV000009,P0004,WH005,GRN001552,2026-06-13,313,1473.13,Sellable,461089.69,66,61-90,Slow Moving
INV000010,P0005,WH005,GRN000559,2026-07-28,243,7077.08,Sellable,1719730.44,21,0-30,Healthy
INV000011,P0005,WH004,GRN001758,2026-08-05,272,6572.09,Sellable,1787608.48,13,0-30,Healthy
INV000012,P0006,WH007,GRN000040,2026-08-18,413,5363.29,Sellable,2215038.77,0,0-30,Healthy
INV000013,P0007,WH005,GRN000030,2026-06-13,176,447.81,Sellable,78814.56,66,61-90,Slow Moving
INV000014,P0008,WH002,GRN000584,2026-07-10,244,11149.52,Sellable,2720482.88,39,31-60,Healthy
INV000015,P0008,WH005,GRN001046,2026-05-18,1032,10659.57,Sellable,11000676.24,92,91-180,Slow Moving
INV000016,P0008,WH004,GRN002486,2026-07-15,691,10636.29,Sellable,7349676.39,34,31-60,Healthy
INV000017,P0009,WH004,GRN001339,2026-04-22,298,11648.33,Sellable,3471202.34,118,91-180,Slow Moving
INV000018,P0009,WH008,GRN000004,2026-03-05,347,11401.03,Sellable,3956157.41,166,91-180,Slow Moving
INV000019,P0010,WH004,GRN000501,2026-06-20,108,11185.22,Sellable,1208003.76,59,31-60,Healthy
INV000020,P0011,WH008,GRN000227,2026-03-23,144,10208.93,Sellable,1470085.92,148,91-180,Slow Moving
INV000021,P0012,WH008,GRN001446,2026-07-14,231,10964.88,Sellable,2532887.28,35,31-60,Healthy
INV000022,P0013,WH004,GRN002228,2026-07-28,574,4430.13,Sellable,2542894.62,21,0-30,Healthy
INV000023,P0013,WH005,GRN001744,2026-06-18,623,4251.55,Sellable,2648715.65,61,61-90,Slow Moving
INV000024,P0013,WH002,GRN000842,2026-08-15,285,4474.2,Sellable,1275147.0,3,0-30,Healthy
INV000025,P0014,WH001,GRN001471,2025-12-16,831,7882.71,Sellable,6550532.01,245,181-365,Non Moving
INV000026,P0014,WH007,GRN000727,2026-08-03,352,7599.64,Sellable,2675073.28,15,0-30,Healthy
