order_id,order_date,customer_type,order_status
O0000001,2026-07-18,Repeat,Delivered
O0000002,2026-02-03,New,Returned
O0000003,2026-03-08,New,Delivered
O0000004,2026-01-25,New,Delivered
O0000005,2026-01-28,New,Delivered
O0000006,2026-04-15,Repeat,Delivered
O0000007,2026-03-15,Repeat,Delivered
O0000008,2026-01-27,Repeat,Cancelled
O0000009,2025-09-24,Repeat,Delivered
O0000010,2026-02-03,Repeat,Delivered
O0000011,2025-11-25,New,Delivered
O0000012,2025-10-13,New,Delivered
O0000013,2025-10-28,New,Delivered
O0000014,2026-04-19,New,Delivered
O0000015,2026-04-05,Repeat,Delivered
O0000016,2026-03-26,New,Delivered
O0000017,2026-05-19,Repeat,Delivered
O0000018,2026-04-13,Repeat,Delivered
O0000019,2026-04-07,New,Delivered
O0000020,2026-01-14,Repeat,Delivered
O0000021,2025-10-02,Repeat,Delivered
O0000022,2026-02-08,Repeat,Delivered
O0000023,2026-06-03,Repeat,Delivered
O0000024,2026-02-17,New,Delivered
O0000025,2026-01-27,Repeat,Delivered
O0000026,2025-11-07,New,Delivered
O0000027,2026-05-05,Repeat,Delivered
O0000028,2026-07-26,Repeat,Delivered
O0000029,2025-12-12,New,Delivered
O0000030,2025-10-07,Repeat,Delivered
O0000031,2026-08-02,Repeat,Delivered
O0000032,2025-08-31,New,Delivered
O0000033,2025-08-14,Repeat,Delivered
O0000034,2025-11-06,Repeat,Delivered
O0000035,2026-06-04,New,Delivered
O0000036,2026-03-18,Repeat,Delivered
O0000037,2026-04-16,Repeat,Delivered
O0000038,2026-03-26,Repeat,Delivered
O0000039,2026-07-03,New,Delivered
O0000040,2025-09-14,New,Delivered
O0000041,2026-07-06,Repeat,Delivered
O0000042,2025-10-31,New,Delivered
O0000043,2025-11-01,New,Delivered
O0000044,2025-11-03,New,Delivered
O0000045,2026-06-05,New,Delivered
O0000046,2026-06-30,New,Delivered
O0000047,2025-11-08,New,Delivered
O0000048,2026-05-09,New,Delivered
O0000049,2026-06-30,New,Delivered
O0000050,2026-01-26,New,Delivered
O0000051,2026-02-02,New,Delivered
O0000052,2026-04-28,New,Delivered
O0000053,2025-10-12,New,Delivered
O0000054,2026-04-26,New,Cancelled
O0000055,2026-07-21,Repeat,Delivered
O0000056,2026-08-16,New,Delivered
O0000057,2026-02-07,New,Delivered
O0000058,2026-05-10,New,Delivered
O0000059,2026-07-30,New,Delivered
O0000060,2026-05-09,Repeat,Cancelled
O0000061,2026-06-22,New,Delivered
O0000062,2026-02-14,New,Delivered
O0000063,2026-03-02,New,Delivered
O0000064,2025-10-29,Repeat,Delivered
O0000065,2026-07-12,New,Delivered
O0000066,2026-05-10,New,Delivered
O0000067,2025-08-16,Repeat,Delivered
O0000068,2026-07-12,New,Delivered
O0000069,2026-04-09,Repeat,Delivered
O0000070,2026-06-14,New,Delivered
O0000071,2026-05-29,New,Delivered
O0000072,2025-11-30,New,Delivered
O0000073,2026-06-24,New,Delivered
O0000074,2026-04-07,New,Delivered
O0000075,2026-06-26,Repeat,Delivered
O0000076,2025-08-06,New,Delivered
O0000077,2025-12-25,Repeat,Delivered
O0000078,2025-08-15,New,Delivered
O0000079,2026-02-14,Repeat,Delivered
O0000080,2026-02-27,Repeat,Delivered
O0000081,2026-05-30,New,Delivered
O0000082,2025-11-18,New,Delivered
O0000083,2026-05-01,Repeat,Delivered
O0000084,2026-01-08,New,Delivered
O0000085,2025-11-26,Repeat,Delivered
O0000086,2025-10-26,Repeat,Delivered
O0000087,2026-04-25,New,Delivered
O0000088,2025-10-21,Repeat,Delivered
O0000089,2026-07-24,New,Delivered
O0000090,2026-08-12,New,Delivered
O0000091,2026-05-31,New,Delivered
O0000092,2026-06-05,New,Delivered
O0000093,2025-10-08,New,Delivered
O0000094,2026-03-29,New,Delivered
O0000095,2026-06-11,Repeat,Delivered
O0000096,2026-03-11,New,Delivered
O0000097,2025-11-18,New,Delivered
O0000098,2025-11-25,New,Delivered
O0000099,2025-10-05,New,Delivered
O0000100,2025-10-05,Repeat,Delivered
O0000101,2026-06-17,New,Delivered
O0000102,2026-07-29,Repeat,Delivered
O0000103,2025-11-20,New,Cancelled
O0000104,2026-08-15,Repeat,Delivered
O0000105,2026-04-15,New,Delivered
O0000106,2026-01-06,Repeat,Delivered
O0000107,2026-05-06,New,Delivered
O0000108,2025-09-16,New,Delivered
O0000109,2025-12-29,Repeat,Delivered
O0000110,2025-10-21,Repeat,Delivered
O0000111,2025-11-01,New,Delivered
O0000112,2026-02-01,Repeat,Delivered
O0000113,2026-05-20,Repeat,Delivered
O0000114,2025-11-16,New,Delivered
O0000115,2026-07-17,New,Delivered
O0000116,2026-02-18,New,Delivered
O0000117,2026-02-24,New,Delivered
O0000118,2025-08-31,New,Delivered
O0000119,2025-09-21,New,Delivered
O0000120,2026-07-24,New,Delivered
O0000121,2026-03-24,New,Delivered
O0000122,2025-11-15,New,Delivered
O0000123,2026-04-27,New,Delivered
O0000124,2025-12-04,New,Delivered
O0000125,2025-11-24,New,Delivered
O0000126,2026-03-02,New,Delivered
O0000127,2026-07-22,Repeat,Delivered
O0000128,2025-09-08,Repeat,Delivered
O0000129,2026-03-26,New,Delivered
O0000130,2026-06-09,New,Delivered
O0000131,2025-09-16,Repeat,Delivered
O0000132,2025-11-15,New,Delivered
O0000133,2025-12-30,New,Delivered
O0000134,2026-07-06,New,Returned
O0000135,2025-08-24,New,Delivered
O0000136,2025-12-14,New,Delivered
O0000137,2025-08-30,Repeat,Delivered
O0000138,2025-12-26,New,Delivered
O0000139,2026-07-20,Repeat,Delivered
O0000140,2025-12-25,New,Delivered
O0000141,2026-05-12,New,Delivered
O0000142,2026-06-07,New,Delivered
O0000143,2026-06-24,Repeat,Delivered
O0000144,2025-09-15,New,Delivered
O0000145,2025-09-24,New,Delivered
O0000146,2025-11-18,New,Delivered
O0000147,2025-11-27,New,Delivered
O0000148,2026-08-08,New,Delivered
O0000149,2026-05-29,Repeat,Delivered
O0000150,2025-08-30,New,Delivered
O0000151,2025-12-10,New,Delivered
O0000152,2025-12-07,Repeat,Delivered
O0000153,2026-02-24,Repeat,Delivered
O0000154,2026-02-21,New,Delivered
O0000155,2026-06-06,New,Delivered
O0000156,2025-09-18,New,Delivered
O0000157,2026-03-12,Repeat,Delivered
O0000158,2025-08-20,New,Delivered
O0000159,2025-08-08,New,Delivered
O0000160,2026-01-12,Repeat,Delivered
O0000161,2026-01-10,New,Delivered
O0000162,2025-10-02,New,Delivered
O0000163,2025-11-08,New,Delivered
O0000164,2025-08-03,New,Returned
O0000165,2025-12-27,Repeat,Delivered
O0000166,2025-08-04,New,Delivered
O0000167,2025-08-28,New,Delivered
O0000168,2026-06-07,New,Delivered
O0000169,2026-04-05,Repeat,Returned
O0000170,2026-06-21,New,Delivered
O0000171,2026-04-28,Repeat,Delivered
O0000172,2026-07-18,New,Delivered
O0000173,2025-12-11,Repeat,Delivered
O0000174,2026-06-18,Repeat,Delivered
O0000175,2025-08-27,Repeat,Delivered
O0000176,2026-05-28,Repeat,Delivered
O0000177,2025-12-19,New,Delivered
O0000178,2026-05-25,New,Delivered
O0000179,2026-03-22,New,Delivered
O0000180,2026-01-27,Repeat,Delivered
O0000181,2026-07-03,Repeat,Delivered
O0000182,2025-12-12,New,Delivered
O0000183,2026-04-04,New,Delivered
O0000184,2025-11-30,Repeat,Delivered
O0000185,2025-12-17,New,Delivered
O0000186,2026-03-28,Repeat,Delivered
O0000187,2026-04-17,Repeat,Delivered
O0000188,2026-02-18,New,Delivered
O0000189,2025-08-16,New,Delivered
O0000190,2026-03-19,Repeat,Delivered
O0000191,2025-09-11,New,Delivered
O0000192,2026-03-07,New,Delivered
O0000193,2026-05-26,New,Delivered
O0000194,2026-01-25,New,Delivered
O0000195,2026-08-12,New,Delivered
O0000196,2026-01-28,Repeat,Delivered
O0000197,2026-04-14,Repeat,Delivered
O0000198,2025-11-17,New,Delivered
O0000199,2026-01-22,Repeat,Returned
O0000200,2025-12-01,New,Delivered
O0000201,2026-01-11,New,Delivered
O0000202,2026-05-27,New,Delivered
O0000203,2026-03-15,Repeat,Delivered
O0000204,2026-08-04,Repeat,Delivered
O0000205,2026-06-28,New,Cancelled
O0000206,2026-03-12,New,Delivered
O0000207,2025-10-16,Repeat,Delivered
O0000208,2026-07-26,New,Returned
O0000209,2026-05-25,Repeat,Returned
O0000210,2026-04-02,New,Delivered
O0000211,2025-11-21,Repeat,Delivered
O0000212,2025-11-28,New,Delivered
O0000213,2026-06-11,New,Delivered
O0000214,2025-10-31,Repeat,Delivered
O0000215,2025-10-18,New,Delivered
O0000216,2025-12-13,New,Delivered
O0000217,2025-08-19,New,Delivered
O0000218,2026-06-27,New,Delivered
O0000219,2025-08-09,New,Delivered
O0000220,2026-04-08,New,Delivered
O0000221,2025-09-11,New,Delivered
O0000222,2026-03-01,Repeat,Delivered
O0000223,2025-08-02,New,Delivered
O0000224,2025-11-28,New,Delivered
O0000225,2026-01-25,Repeat,Delivered
O0000226,2026-03-12,Repeat,Delivered
O0000227,2026-07-17,New,Delivered
O0000228,2026-04-24,New,Delivered
O0000229,2026-02-24,New,Delivered
O0000230,2026-01-03,New,Delivered
O0000231,2026-02-19,Repeat,Delivered
O0000232,2025-09-09,Repeat,Delivered
O0000233,2026-07-19,Repeat,Delivered
O0000234,2026-06-26,New,Delivered
O0000235,2026-05-29,New,Cancelled
O0000236,2025-10-25,New,Delivered
O0000237,2026-05-05,New,Delivered
O0000238,2025-08-08,New,Delivered
O0000239,2026-01-01,Repeat,Delivered
O0000240,2026-03-03,Repeat,Delivered
O0000241,2025-10-22,New,Delivered
O0000242,2025-11-29,New,Delivered
O0000243,2026-04-30,New,Delivered
O0000244,2026-04-15,Repeat,Cancelled
O0000245,2025-09-26,Repeat,Delivered
O0000246,2026-07-08,New,Delivered
O0000247,2026-04-01,Repeat,Delivered
O0000248,2026-03-11,Repeat,Delivered
O0000249,2026-04-16,Repeat,Delivered
O0000250,2026-05-01,New,Delivered
O0000251,2026-05-10,New,Delivered
O0000252,2026-05-06,New,Delivered
O0000253,2025-11-28,New,Delivered
O0000254,2026-02-18,Repeat,Cancelled
O0000255,2026-04-19,New,Delivered
O0000256,2026-06-17,Repeat,Cancelled
O0000257,2025-11-25,New,Delivered
O0000258,2026-05-04,New,Delivered
O0000259,2025-09-28,New,Delivered
O0000260,2026-05-20,New,Delivered
O0000261,2025-09-23,New,Delivered
O0000262,2026-02-16,Repeat,Delivered
O0000263,2025-09-07,Repeat,Delivered
O0000264,2026-03-05,New,Delivered
O0000265,2025-12-18,Repeat,Delivered
O0000266,2026-06-27,New,Delivered
O0000267,2025-11-19,New,Delivered
O0000268,2025-12-01,New,Delivered
O0000269,2026-02-28,New,Delivered
O0000270,2026-07-20,New,Delivered
O0000271,2025-08-26,Repeat,Delivered
O0000272,2026-01-11,Repeat,Delivered
O0000273,2026-03-05,Repeat,Delivered
O0000274,2026-07-03,Repeat,Delivered
O0000275,2026-06-23,Repeat,Returned
O0000276,2026-01-16,New,Delivered
O0000277,2025-09-03,New,Delivered
O0000278,2026-01-27,Repeat,Delivered
O0000279,2025-11-08,Repeat,Delivered
O0000280,2026-07-02,New,Cancelled
O0000281,2026-08-09,New,Delivered
O0000282,2026-01-06,New,Cancelled
O0000283,2025-11-11,New,Delivered
O0000284,2026-04-23,Repeat,Delivered
O0000285,2025-11-17,New,Delivered
O0000286,2026-03-04,New,Delivered
O0000287,2026-07-26,New,Delivered
O0000288,2025-08-14,New,Cancelled
O0000289,2026-01-03,New,Delivered
O0000290,2026-02-09,Repeat,Delivered
O0000291,2025-09-16,New,Delivered
O0000292,2026-05-11,New,Delivered
O0000293,2026-06-16,New,Delivered
O0000294,2026-01-27,New,Delivered
O0000295,2025-11-29,New,Delivered
O0000296,2026-05-12,New,Delivered
O0000297,2026-04-11,Repeat,Delivered
O0000298,2025-10-09,New,Delivered
O0000299,2026-04-19,Repeat,Returned
O0000300,2025-08-11,New,Delivered
O0000301,2026-04-25,New,Delivered
O0000302,2026-08-10,New,Delivered
O0000303,2026-03-03,Repeat,Delivered
O0000304,2025-08-11,New,Returned
O0000305,2026-04-10,New,Delivered
O0000306,2025-12-18,New,Delivered
O0000307,2026-03-17,Repeat,Cancelled
O0000308,2025-12-16,Repeat,Returned
O0000309,2025-09-23,New,Cancelled
O0000310,2026-01-04,Repeat,Delivered
O0000311,2026-03-25,New,Delivered
O0000312,2025-12-17,New,Delivered
O0000313,2026-07-26,Repeat,Cancelled
O0000314,2026-06-19,Repeat,Delivered
O0000315,2026-05-30,Repeat,Delivered
O0000316,2025-08-11,New,Delivered
O0000317,2026-02-04,New,Delivered
O0000318,2026-07-09,Repeat,Delivered
O0000319,2026-01-25,New,Delivered
O0000320,2026-02-26,Repeat,Delivered
O0000321,2026-06-14,Repeat,Delivered
O0000322,2026-01-28,New,Delivered
O0000323,2025-11-08,New,Delivered
O0000324,2025-12-04,New,Delivered
O0000325,2026-04-23,New,Delivered
O0000326,2025-11-05,Repeat,Delivered
O0000327,2026-03-25,New,Delivered
O0000328,2025-11-16,New,Cancelled
O0000329,2025-08-10,Repeat,Delivered
O0000330,2025-11-01,New,Delivered
O0000331,2025-10-24,New,Delivered
O0000332,2026-04-14,Repeat,Delivered
O0000333,2026-06-09,Repeat,Delivered
O0000334,2026-07-04,New,Delivered
O0000335,2026-03-15,Repeat,Delivered
O0000336,2026-01-14,New,Delivered
O0000337,2026-08-13,Repeat,Delivered
O0000338,2026-05-23,New,Delivered
O0000339,2026-04-01,New,Delivered
O0000340,2026-01-28,New,Delivered
O0000341,2026-07-28,New,Delivered
O0000342,2026-08-12,New,Delivered
O0000343,2026-02-11,Repeat,Delivered
O0000344,2025-12-03,Repeat,Delivered
O0000345,2026-02-17,Repeat,Delivered
O0000346,2025-12-05,New,Delivered
O0000347,2025-12-11,Repeat,Delivered
O0000348,2026-02-12,Repeat,Delivered
O0000349,2026-03-25,New,Cancelled
O0000350,2025-09-03,New,Delivered
O0000351,2026-01-15,New,Delivered
O0000352,2025-10-31,New,Cancelled
O0000353,2026-06-16,Repeat,Delivered
O0000354,2026-07-16,New,Returned
O0000355,2026-08-01,New,Delivered
O0000356,2025-11-22,Repeat,Delivered
O0000357,2026-01-11,New,Delivered
O0000358,2025-08-01,New,Delivered
O0000359,2025-11-14,New,Delivered
O0000360,2025-10-23,New,Delivered
O0000361,2026-03-24,New,Delivered
O0000362,2025-10-18,Repeat,Delivered
O0000363,2026-08-09,New,Delivered
O0000364,2026-07-06,New,Delivered
O0000365,2025-11-13,New,Delivered
O0000366,2025-10-05,New,Delivered
O0000367,2025-09-16,Repeat,Cancelled
O0000368,2026-05-22,New,Cancelled
O0000369,2026-05-21,Repeat,Delivered
O0000370,2026-07-30,New,Delivered
O0000371,2025-12-31,New,Delivered
O0000372,2026-03-18,Repeat,Delivered
O0000373,2025-10-31,New,Delivered
O0000374,2026-08-14,Repeat,Delivered
O0000375,2026-07-26,New,Delivered
O0000376,2025-11-30,Repeat,Delivered
O0000377,2026-05-30,New,Delivered
O0000378,2025-12-22,New,Delivered
O0000379,2026-02-26,New,Delivered
O0000380,2026-06-15,New,Delivered
O0000381,2025-08-28,Repeat,Delivered
O0000382,2025-11-14,New,Delivered
O0000383,2025-10-17,Repeat,Delivered
O0000384,2025-11-09,Repeat,Delivered
O0000385,2025-11-01,Repeat,Delivered
O0000386,2025-10-30,New,Delivered
O0000387,2025-12-04,New,Delivered
O0000388,2026-04-21,New,Delivered
O0000389,2026-02-10,New,Delivered
O0000390,2025-11-25,New,Delivered
O0000391,2026-01-13,New,Delivered
O0000392,2025-10-18,Repeat,Delivered
O0000393,2026-06-04,Repeat,Delivered
O0000394,2025-08-08,Repeat,Delivered
O0000395,2025-08-24,Repeat,Delivered
O0000396,2025-12-14,Repeat,Delivered
O0000397,2026-06-18,New,Delivered
O0000398,2026-06-18,Repeat,Delivered
O0000399,2026-02-11,New,Delivered
O0000400,2026-02-07,New,Delivered
O0000401,2026-07-12,New,Delivered
O0000402,2026-04-29,New,Delivered
O0000403,2026-06-01,Repeat,Delivered
O0000404,2025-10-05,Repeat,Delivered
O0000405,2026-06-15,New,Delivered
O0000406,2025-09-25,New,Delivered
O0000407,2025-10-15,New,Delivered
O0000408,2025-09-12,Repeat,Delivered
O0000409,2025-09-06,New,Delivered
O0000410,2026-01-10,Repeat,Delivered
O0000411,2026-02-07,New,Delivered
O0000412,2026-05-21,Repeat,Delivered
O0000413,2026-01-30,New,Delivered
O0000414,2026-03-22,New,Delivered
O0000415,2026-08-08,New,Cancelled
O0000416,2026-02-23,New,Delivered
O0000417,2025-09-13,New,Delivered
O0000418,2025-11-24,Repeat,Delivered
O0000419,2026-05-05,New,Delivered
O0000420,2026-05-15,New,Delivered
O0000421,2025-08-03,New,Delivered
O0000422,2026-06-13,New,Delivered
O0000423,2026-04-09,New,Delivered
O0000424,2025-08-30,Repeat,Delivered
O0000425,2026-02-04,New,Delivered
O0000426,2025-08-18,New,Delivered
O0000427,2026-06-04,New,Delivered
O0000428,2025-12-03,Repeat,Delivered
O0000429,2025-11-15,New,Delivered
O0000430,2026-03-03,Repeat,Delivered
O0000431,2026-07-01,New,Delivered
O0000432,2025-12-11,New,Delivered
O0000433,2025-11-03,New,Delivered
O0000434,2025-08-23,New,Delivered
O0000435,2025-12-10,New,Delivered
O0000436,2026-07-07,New,Delivered
O0000437,2026-05-16,New,Delivered
O0000438,2026-03-14,Repeat,Cancelled
O0000439,2026-06-16,New,Cancelled
O0000440,2026-03-20,New,Delivered
O0000441,2025-11-25,New,Delivered
O0000442,2026-04-06,New,Delivered
O0000443,2026-05-23,New,Delivered
O0000444,2026-07-02,New,Delivered
O0000445,2026-01-23,New,Delivered
O0000446,2025-09-14,New,Delivered
O0000447,2026-03-20,New,Cancelled
O0000448,2025-08-31,New,Delivered
O0000449,2025-10-05,Repeat,Delivered
O0000450,2025-09-24,New,Returned
O0000451,2025-11-01,Repeat,Delivered
O0000452,2026-03-10,Repeat,Delivered
O0000453,2026-08-10,Repeat,Delivered
O0000454,2026-02-05,Repeat,Delivered
O0000455,2025-09-27,New,Delivered
O0000456,2025-08-25,New,Delivered
O0000457,2026-06-08,Repeat,Delivered
O0000458,2026-04-09,New,Cancelled
O0000459,2025-11-04,New,Delivered
O0000460,2026-06-14,New,Delivered
O0000461,2026-04-14,New,Delivered
O0000462,2025-10-02,Repeat,Delivered
O0000463,2025-12-21,New,Delivered
O0000464,2026-01-14,New,Delivered
O0000465,2025-11-24,New,Delivered
O0000466,2025-09-10,New,Cancelled
O0000467,2025-11-08,New,Delivered
O0000468,2026-01-20,New,Delivered
O0000469,2026-08-10,New,Returned
O0000470,2025-08-23,New,Delivered
O0000471,2025-10-04,New,Delivered
O0000472,2026-08-16,Repeat,Delivered
O0000473,2025-11-17,New,Delivered
O0000474,2025-09-19,New,Delivered
O0000475,2025-08-16,Repeat,Cancelled
O0000476,2025-09-28,New,Delivered
O0000477,2025-09-02,New,Delivered
O0000478,2025-12-25,Repeat,Returned
O0000479,2026-04-24,Repeat,Delivered
O0000480,2026-03-19,Repeat,Delivered
O0000481,2026-07-10,New,Delivered
O0000482,2026-04-17,Repeat,Cancelled
O0000483,2026-08-09,New,Returned
O0000484,2026-07-27,Repeat,Delivered
O0000485,2026-04-27,Repeat,Delivered
O0000486,2025-08-30,New,Delivered
O0000487,2025-08-30,New,Delivered
O0000488,2026-03-26,Repeat,Delivered
O0000489,2026-03-14,New,Delivered
O0000490,2026-01-01,New,Delivered
O0000491,2026-01-18,Repeat,Delivered
O0000492,2026-07-01,New,Delivered
O0000493,2026-02-15,Repeat,Delivered
O0000494,2025-09-16,Repeat,Delivered
O0000495,2026-02-21,Repeat,Delivered
O0000496,2025-10-09,New,Delivered
O0000497,2026-04-27,New,Delivered
O0000498,2026-05-14,Repeat,Delivered
O0000499,2026-06-15,New,Delivered
O0000500,2026-06-18,Repeat,Delivered
O0000501,2026-03-17,Repeat,Delivered
O0000502,2026-03-28,New,Delivered
O0000503,2025-10-24,Repeat,Delivered
O0000504,2026-06-02,New,Delivered
O0000505,2026-04-11,New,Delivered
O0000506,2026-06-13,New,Delivered
O0000507,2026-04-22,Repeat,Delivered
O0000508,2025-11-28,Repeat,Delivered
O0000509,2026-06-22,New,Delivered
O0000510,2025-10-02,New,Delivered
O0000511,2025-12-17,New,Delivered
O0000512,2026-02-01,New,Delivered
O0000513,2026-01-22,New,Delivered
O0000514,2026-07-25,Repeat,Delivered
O0000515,2025-12-23,Repeat,Delivered
O0000516,2025-12-15,New,Cancelled
O0000517,2026-01-04,Repeat,Delivered
O0000518,2025-08-20,New,Delivered
O0000519,2026-07-19,Repeat,Delivered
O0000520,2025-11-15,New,Delivered
O0000521,2026-04-06,Repeat,Delivered
O0000522,2025-09-27,Repeat,Delivered
O0000523,2026-05-14,Repeat,Delivered
O0000524,2025-12-24,New,Delivered
O0000525,2025-09-14,New,Delivered
O0000526,2026-05-13,Repeat,Delivered
O0000527,2025-09-09,New,Delivered
O0000528,2025-10-21,New,Delivered
O0000529,2026-01-22,New,Delivered
O0000530,2026-03-04,New,Delivered
O0000531,2025-12-29,New,Delivered
O0000532,2026-06-05,New,Delivered
O0000533,2026-07-19,New,Delivered
O0000534,2026-01-03,New,Delivered
O0000535,2026-07-10,New,Delivered
O0000536,2026-02-18,Repeat,Returned
O0000537,2026-01-09,New,Cancelled
O0000538,2025-10-14,Repeat,Delivered
O0000539,2025-09-13,New,Delivered
O0000540,2025-08-26,Repeat,Delivered
O0000541,2026-04-07,Repeat,Delivered
O0000542,2025-09-08,New,Delivered
