product_id,product_name,category,vendor_id,unit_cost,selling_price,shelf_life_days
P0001,Casual Shoes 001,Footwear,V007,7840.84,11805.32,180
P0002,Smart Watch 002,Electronics,V002,1217.29,1611.45,730
P0003,Sandals 003,Footwear,V012,7679.69,10805.71,90
P0004,Face Wash 004,Beauty,V003,1505.56,1797.79,730
P0005,Face Wash 005,Beauty,V005,6770.42,8142.68,730
P0006,Face Wash 006,Beauty,V015,5176.29,5888.41,60
P0007,Breakfast Cereal 007,Grocery,V019,454.64,542.22,30
P0008,Breakfast Cereal 008,Grocery,V004,10898.19,13511.51,365
P0009,Trimmer 009,Beauty,V004,11318.81,13538.59,90
P0010,Sunscreen 010,Beauty,V028,11162.0,12927.18,365
P0011,T-Shirt 011,Fashion,V021,10467.81,12266.95,180
P0012,Snacks 012,Grocery,V020,10719.3,14129.48,90
P0013,Lamp 013,Home,V028,4327.07,5230.23,730
P0014,Earbuds 014,Electronics,V025,7800.47,9958.36,30
P0015,Breakfast Cereal 015,Grocery,V009,3712.99,4962.3,730
P0016,Face Wash 016,Beauty,V030,2727.53,3864.55,90
P0017,Vacuum Cleaner 017,Home,V024,11319.48,12869.16,730
P0018,Smart Watch 018,Electronics,V017,853.52,1249.34,60
P0019,Snacks 019,Grocery,V030,8379.95,11648.11,90
P0020,Keyboard 020,Electronics,V017,11973.07,13830.77,90
P0021,Bluetooth Speaker 021,Electronics,V002,4979.56,7447.62,365
P0022,Earbuds 022,Electronics,V019,8194.01,12421.92,365
P0023,Tea 023,Grocery,V006,2965.3,3399.02,180
P0024,Moisturizer 024,Beauty,V017,8760.34,10854.56,365
P0025,Tea 025,Grocery,V006,4833.99,7089.85,30
P0026,Smart Watch 026,Electronics,V027,2303.3,3320.79,365
P0027,Hair Dryer 027,Beauty,V028,8156.57,9782.53,90
P0028,Kettle 028,Home,V019,4236.1,5125.77,180
P0029,Earbuds 029,Electronics,V008,4689.89,5999.79,60
P0030,Power Bank 030,Electronics,V028,8843.78,11747.59,60
P0031,Jeans 031,Fashion,V003,2804.32,3886.37,60
P0032,Smart Watch 032,Electronics,V028,3189.08,4077.66,30
P0033,Shirt 033,Fashion,V005,10812.98,14261.13,90
P0034,Earbuds 034,Electronics,V003,8428.27,12148.61,90
P0035,Cooking Oil 035,Grocery,V024,10662.22,12109.87,180
P0036,Face Wash 036,Beauty,V008,9441.26,11599.04,180
P0037,Jacket 037,Fashion,V016,1289.54,1839.84,90
P0038,Keyboard 038,Electronics,V018,1996.83,3005.11,60
P0039,Bedsheet 039,Home,V003,7851.38,10521.02,30
P0040,Coffee 040,Grocery,V004,2908.01,3922.35,365
P0041,Spices 041,Grocery,V003,7918.75,9233.93,30
P0042,Dry Fruits 042,Grocery,V019,7665.08,10059.55,730
P0043,Dress 043,Fashion,V006,11748.4,15848.89,90
P0044,Jacket 044,Fashion,V027,9554.15,11696.79,730
P0045,Smart Watch 045,Electronics,V015,5950.81,7353.86,365
P0046,Breakfast Cereal 046,Grocery,V016,3426.81,4393.97,90
P0047,Earbuds 047,Electronics,V012,11290.27,12742.54,365
P0048,Track Pants 048,Fashion,V006,4492.29,5653.52,30
P0049,Sports Shoes 049,Footwear,V017,6668.96,8075.59,90
P0050,Coffee 050,Grocery,V020,3589.83,4526.14,365
P0051,Power Bank 051,Electronics,V018,6717.07,7869.03,730
P0052,Kettle 052,Home,V008,919.36,1381.73,60
P0053,Jeans 053,Fashion,V027,3599.86,4950.69,60
P0054,Earbuds 054,Electronics,V009,8453.61,11936.62,365
P0055,Lamp 055,Home,V026,9736.55,14208.97,30
P0056,Slippers 056,Footwear,V026,141.8,189.21,180
P0057,Slippers 057,Footwear,V001,925.62,1071.29,730
P0058,Shirt 058,Fashion,V019,4108.9,5550.94,180
P0059,Cooker 059,Home,V023,8090.55,11103.0,90
P0060,Bluetooth Speaker 060,Electronics,V030,3495.57,5035.5,60
P0061,Bedsheet 061,Home,V017,525.19,685.7,730
P0062,Jacket 062,Fashion,V028,3973.68,4668.52,365
P0063,Snacks 063,Grocery,V012,7504.85,9321.2,180
P0064,Track Pants 064,Fashion,V020,4983.34,6359.37,90
P0065,Breakfast Cereal 065,Grocery,V018,6234.3,8713.96,730
P0066,Face Wash 066,Beauty,V024,3308.32,4517.29,180
P0067,Lamp 067,Home,V026,382.18,486.56,365
P0068,T-Shirt 068,Fashion,V012,4954.72,7651.09,60
P0069,Mixer 069,Home,V015,3062.9,4228.28,730
P0070,T-Shirt 070,Fashion,V008,11220.6,13711.66,30
P0071,Sports Shoes 071,Footwear,V022,8782.07,10220.28,90
P0072,Tea 072,Grocery,V016,1971.07,2337.16,730
P0073,Keyboard 073,Electronics,V014,1174.24,1439.34,30
P0074,Dress 074,Fashion,V030,8467.6,10068.76,180
P0075,Cooker 075,Home,V016,9698.4,11640.25,180
P0076,Mouse 076,Electronics,V030,7825.3,9723.65,60
P0077,Bedsheet 077,Home,V005,10649.23,12721.04,180
P0078,Cooker 078,Home,V019,6077.38,9150.16,30
P0079,Sports Shoes 079,Footwear,V004,7420.95,8567.49,60
P0080,Smart Watch 080,Electronics,V027,9627.32,12953.94,180
P0081,Kettle 081,Home,V028,1611.72,2089.55,365
P0082,Moisturizer 082,Beauty,V005,7541.2,11631.72,30
P0083,Bluetooth Speaker 083,Electronics,V011,2413.83,2819.78,365
P0084,Spices 084,Grocery,V014,297.2,383.71,90
P0085,Kettle 085,Home,V023,928.57,1427.09,365
P0086,Cooker 086,Home,V026,4140.24,6177.93,90
P0087,Headphones 087,Electronics,V004,8339.25,12269.88,60
P0088,Sandals 088,Footwear,V029,547.1,673.42,30
P0089,Sports Shoes 089,Footwear,V025,6611.82,7891.09,365
P0090,Power Bank 090,Electronics,V017,8801.24,12387.89,180
P0091,Mixer 091,Home,V007,7000.08,10637.54,730
P0092,Slippers 092,Footwear,V017,8183.75,11125.06,30
P0093,Face Wash 093,Beauty,V030,10838.43,14803.06,730
P0094,Coffee 094,Grocery,V022,3627.81,4499.9,90
P0095,Smart Watch 095,Electronics,V012,11505.81,16693.57,90
P0096,Coffee 096,Grocery,V007,11485.07,13787.01,180
P0097,Shampoo 097,Beauty,V015,1072.75,1350.79,365
P0098,Hair Dryer 098,Beauty,V025,6680.14,8703.81,365
P0099,Breakfast Cereal 099,Grocery,V023,9393.05,12570.46,365
P0100,Casual Shoes 100,Footwear,V026,766.1,937.89,60
P0101,Sandals 101,Footwear,V023,6587.32,7703.08,90
P0102,Lamp 102,Home,V012,8281.32,11449.48,60
P0103,Coffee 103,Grocery,V029,10074.69,12534.03,730
P0104,Casual Shoes 104,Footwear,V009,9876.57,13530.23,60
P0105,Storage Box 105,Home,V029,1091.27,1294.66,90
P0106,Running Shoes 106,Footwear,V022,9768.57,12961.82,30
P0107,Slippers 107,Footwear,V004,4565.01,6158.26,90
P0108,Slippers 108,Footwear,V022,8484.61,9691.84,60
P0109,Kettle 109,Home,V007,5258.67,6650.85,365
P0110,Casual Shoes 110,Footwear,V028,6891.96,8117.34,180
P0111,Breakfast Cereal 111,Grocery,V009,8951.0,10269.05,90
P0112,Slippers 112,Footwear,V030,4850.66,7497.58,180
P0113,Earbuds 113,Electronics,V024,6378.17,8027.64,365
P0114,Jeans 114,Fashion,V012,11736.58,17232.19,365
P0115,Sports Shoes 115,Footwear,V016,6370.2,7832.13,90
P0116,Breakfast Cereal 116,Grocery,V004,6681.94,9441.89,180
P0117,Bluetooth Speaker 117,Electronics,V015,7582.43,10971.0,730
P0118,Keyboard 118,Electronics,V022,7045.03,9694.84,30
P0119,Hair Dryer 119,Beauty,V010,11408.9,15091.44,730
