sale_id,product_id,warehouse_id,sale_date,quantity_sold,selling_price,sales_amount
SAL0000001,P0054,WH003,2026-05-28,11,11936.62,131302.82
SAL0000002,P0090,WH006,2026-02-11,19,12387.89,235369.91
SAL0000003,P0012,WH006,2026-03-29,52,14129.48,734732.96
SAL0000004,P0136,WH005,2025-11-17,18,9626.15,173270.7
SAL0000005,P0074,WH008,2026-01-16,32,10068.76,322200.32
SAL0000006,P0144,WH005,2026-05-19,23,13859.79,318775.17
SAL0000007,P0026,WH008,2026-04-15,12,3320.79,39849.48
SAL0000008,P0136,WH004,2026-01-11,58,9626.15,558316.7
SAL0000009,P0045,WH005,2026-06-14,77,7353.86,566247.22
SAL0000010,P0084,WH007,2025-09-07,21,383.71,8057.91
SAL0000011,P0147,WH008,2026-07-01,21,826.55,17357.55
SAL0000012,P0145,WH007,2025-11-30,29,10988.78,318674.62
SAL0000013,P0103,WH005,2025-08-18,79,12534.03,990188.37
SAL0000014,P0124,WH007,2026-06-06,47,3098.15,145613.05
SAL0000015,P0123,WH008,2026-03-15,12,5568.28,66819.36
SAL0000016,P0116,WH001,2026-02-02,58,9441.89,547629.62
SAL0000017,P0014,WH007,2025-09-05,41,9958.36,408292.76
SAL0000018,P0017,WH005,2026-05-02,19,12869.16,244514.04
SAL0000019,P0013,WH005,2025-09-26,12,5230.23,62762.76
SAL0000020,P0093,WH007,2025-11-15,23,14803.06,340470.38
SAL0000021,P0063,WH008,2026-01-29,5,9321.2,46606.0
SAL0000022,P0033,WH004,2026-04-03,26,14261.13,370789.38
SAL0000023,P0029,WH004,2025-12-07,63,5999.79,377986.77
SAL0000024,P0037,WH008,2025-10-16,52,1839.84,95671.68
SAL0000025,P0103,WH002,2026-04-08,10,12534.03,125340.3
SAL0000026,P0024,WH005,2025-11-09,39,10854.56,423327.84
SAL0000027,P0142,WH005,2026-07-31,23,10972.07,252357.61
SAL0000028,P0133,WH006,2026-02-20,11,10911.61,120027.71
SAL0000029,P0125,WH005,2026-04-08,72,13379.19,963301.68
SAL0000030,P0053,WH001,2026-07-31,48,4950.69,237633.12
SAL0000031,P0088,WH007,2025-09-20,16,673.42,10774.72
SAL0000032,P0098,WH006,2026-06-10,46,8703.81,400375.26
SAL0000033,P0114,WH005,2026-06-24,47,17232.19,809912.93
SAL0000034,P0095,WH001,2026-05-27,48,16693.57,801291.36
SAL0000035,P0120,WH002,2025-11-13,69,4392.45,303079.05
SAL0000036,P0073,WH006,2025-09-02,25,1439.34,35983.5
SAL0000037,P0106,WH007,2026-05-04,77,12961.82,998060.14
SAL0000038,P0026,WH007,2025-10-18,37,3320.79,122869.23
SAL0000039,P0018,WH008,2026-05-14,63,1249.34,78708.42
SAL0000040,P0136,WH008,2025-10-26,29,9626.15,279158.35
SAL0000041,P0146,WH003,2026-04-26,58,12971.8,752364.4
SAL0000042,P0058,WH005,2026-03-22,31,5550.94,172079.14
SAL0000043,P0093,WH006,2026-07-27,68,14803.06,1006608.08
SAL0000044,P0049,WH007,2025-12-04,41,8075.59,331099.19
SAL0000045,P0071,WH004,2025-12-08,50,10220.28,511014.0
SAL0000046,P0065,WH006,2025-12-24,44,8713.96,383414.24
SAL0000047,P0033,WH004,2026-05-21,9,14261.13,128350.17
SAL0000048,P0050,WH005,2026-07-21,59,4526.14,267042.26
SAL0000049,P0004,WH001,2026-06-18,27,1797.79,48540.33
SAL0000050,P0119,WH004,2026-04-19,59,15091.44,890394.96
SAL0000051,P0084,WH006,2026-05-20,3,383.71,1151.13
SAL0000052,P0117,WH008,2025-08-13,7,10971.0,76797.0
SAL0000053,P0102,WH006,2026-03-29,16,11449.48,183191.68
SAL0000054,P0131,WH007,2026-02-04,49,332.15,16275.35
SAL0000055,P0006,WH008,2026-02-10,32,5888.41,188429.12
SAL0000056,P0023,WH004,2025-08-28,44,3399.02,149556.88
SAL0000057,P0135,WH002,2026-04-06,19,13819.48,262570.12
SAL0000058,P0120,WH007,2025-12-29,3,4392.45,13177.35
SAL0000059,P0061,WH002,2025-08-11,60,685.7,41142.0
SAL0000060,P0100,WH002,2025-10-26,35,937.89,32826.15
SAL0000061,P0065,WH004,2025-08-09,29,8713.96,252704.84
SAL0000062,P0134,WH004,2026-04-03,75,4427.4,332055.0
SAL0000063,P0024,WH006,2025-09-16,70,10854.56,759819.2
SAL0000064,P0037,WH005,2025-11-01,45,1839.84,82792.8
SAL0000065,P0045,WH005,2026-04-23,27,7353.86,198554.22
SAL0000066,P0100,WH001,2026-03-26,69,937.89,64714.41
SAL0000067,P0102,WH008,2025-12-26,35,11449.48,400731.8
SAL0000068,P0063,WH004,2025-09-24,19,9321.2,177102.8
SAL0000069,P0029,WH007,2026-02-12,17,5999.79,101996.43
SAL0000070,P0101,WH008,2026-07-05,35,7703.08,269607.8
SAL0000071,P0109,WH007,2026-07-22,77,6650.85,512115.45
SAL0000072,P0096,WH008,2026-04-28,78,13787.01,1075386.78
SAL0000073,P0010,WH005,2025-11-08,30,12927.18,387815.4
SAL0000074,P0035,WH005,2025-11-18,48,12109.87,581273.76
SAL0000075,P0055,WH002,2026-05-07,57,14208.97,809911.29
SAL0000076,P0096,WH002,2025-10-17,17,13787.01,234379.17
SAL0000077,P0123,WH007,2025-08-19,15,5568.28,83524.2
SAL0000078,P0012,WH007,2025-12-18,14,14129.48,197812.72
SAL0000079,P0004,WH002,2026-05-18,14,1797.79,25169.06
SAL0000080,P0106,WH003,2026-07-09,45,12961.82,583281.9
SAL0000081,P0090,WH008,2025-11-12,38,12387.89,470739.82
SAL0000082,P0067,WH005,2026-04-10,63,486.56,30653.28
SAL0000083,P0145,WH002,2026-04-01,75,10988.78,824158.5
SAL0000084,P0065,WH002,2026-05-31,11,8713.96,95853.56
SAL0000085,P0082,WH004,2026-07-07,48,11631.72,558322.56
SAL0000086,P0105,WH007,2026-02-10,26,1294.66,33661.16
SAL0000087,P0084,WH006,2026-08-14,67,383.71,25708.57
SAL0000088,P0105,WH002,2026-01-24,25,1294.66,32366.5
SAL0000089,P0115,WH004,2026-03-06,61,7832.13,477759.93
SAL0000090,P0028,WH001,2025-11-23,26,5125.77,133270.02
