vendor_id,vendor_name,vendor_category,vendor_rating,payment_terms_days
V001,Vendor 001,Footwear,4.2,60
V002,Vendor 002,Beauty,3.2,30
V003,Vendor 003,Grocery,4.8,30
V004,Vendor 004,Grocery,3.5,60
V005,Vendor 005,Home,4.1,60
V006,Vendor 006,Electronics,3.7,45
V007,Vendor 007,Home,3.3,60
V008,Vendor 008,Fashion,3.4,30
V009,Vendor 009,Beauty,3.9,60
V010,Vendor 010,Electronics,3.3,45
V011,Vendor 011,Footwear,4.0,30
V012,Vendor 012,Grocery,4.8,30
V013,Vendor 013,Home,3.9,30
V014,Vendor 014,Footwear,3.6,60
V015,Vendor 015,Grocery,3.4,15
V016,Vendor 016,Beauty,4.7,60
V017,Vendor 017,Home,4.3,30
V018,Vendor 018,Fashion,4.1,30
V019,Vendor 019,Grocery,3.5,45
V020,Vendor 020,Home,4.5,30
V021,Vendor 021,Home,4.7,30
V022,Vendor 022,Fashion,3.5,15
V023,Vendor 023,Fashion,3.8,60
V024,Vendor 024,Footwear,3.7,15
V025,Vendor 025,Home,4.8,60
V026,Vendor 026,Grocery,3.7,15
V027,Vendor 027,Footwear,3.3,45
V028,Vendor 028,Electronics,4.5,60
V029,Vendor 029,Beauty,3.5,60
V030,Vendor 030,Beauty,4.5,45
